samasthitiḥ, Mountain Pose
tāḍāsana, Mountain Pose (alternate)
sūryanamaskāra, Sun Salutation
padāṇguṣṭhāsana, (hold) Toes of Feet Pose
padahastāsana, Feet (over) Hands Pose
utthita trikoṇāsana, Extended Triangle Pose
parivṛtta trikoṇāsana, Revolved Triangle Pose
utthita pārśvakoṇāsa, Extended Side Angle Pose
parivṛtta pārśvakoṇāsana, Revolved Side Angle Pose
prasārita pādottānāsana, Wide Stance Forward Bend Pose
pārśvottānāsana, Intense Side Stretch Pose
utthita hasta pādāṅguṣṭhāsana, Extended (hold) Toes of Feet Pose
ardha baddha padmottānāsana, Intense Half-bound Lotus Pose
utkaṭāsana, Chair Pose
vīrabhadrāsana, Powerful Warrior Pose
daṇḍāsana, Staff Pose
paścimottānāsana, Intense Forward Stretch
pūrvottānāsana, Upward Plank Pose
ardha baddha padma paścimottānāsana, Half-bound Lotus Forward Stretch
jānu śirṣāsana, Head to Knee Pose
marīcyāsana, Pose of Sage Marīci
navāsana, Boat Pose
supta hasta pādāṅguṣṭhāsana, Supine (hold) of Toe of Foot Pose
ubhaya pādāṅguṣṭhāsana, Two-sided Seated Toe Hold Pose
ūrdva mukha paścimottānāsana, Upward Seated Toe Hold Pose
setu bandhāsana, Bridge Pose
ūrdva dhanurāsana, Upward Facing Bow Pose
bharadvājāsana, Bharadvaja (Seated Spinal) Twist Pose
sarvāṅgāsana, Shoulder Stand Pose
matsyāsana, Fish Pose
padmāsana, Lotus Pose
sukhāsana, Easy Pose

